id,StockID,Names,OnlinerId,StockUniqueVendorCode,CurrencyID,Price,Coefficient,CoefficientKind,CurrencyCashID,PriceCash,RecPriceCash,RecCurrencyCashID,CoefficientCash,CoefficientCashKind,Existence,ExistenceField,Description,SL,Guarantee,IsBlock,WriteDate,Name
7,5,B,  ,A ,27,C ,,0,27,C,D  ,27,,0,1,  ,,[],F ,0,2021-05-21 20:03:22.000000,7
9,6,"B,C,D",  ,C ,27,I ,1.20,1,27,I,   ,27,1.20,1,1,F ,,"{""ExYes"": ""достаточно"", ""ExOrder"": ""звоните""}",E ,1,2020-12-24 03:02:10.000000,9
10,7,"B,C",  ,K ,27,F ,,0,27,F,   ,27,,0,1,  ,,[],  ,1,2020-12-28 22:04:33.000000,10
11,8,C,M ,B ,27,H ,,0,27,H,   ,27,,0,2,  ,хеш,[],  ,1,2021-02-03 11:28:18.000000,11
25,1,"C,D,E",M ,B ,33,3 ,3.00,4,27,H,W  ,27,2.00,1,0,K ,ацуацуа,"{""ExNo"": ""нет"", ""ExYes"": ""да"", ""ExOrder"": ""заканнз""}",У ,0,2021-06-18 19:42:30.000000,25
26,8,"",M ,B ,27,H ,,0,27,H,   ,27,,0,2,  ,,[],  ,0,2021-02-03 11:24:01.000000,26
40,11,A,  ,B ,51,F ,,0,51,F,C  ,27,,0,3,G ,,"{""ExNo"": ""нет"", ""ExYes"": ""да""}",H ,1,2021-05-17 21:44:06.000000,40
53,16,B,  ,A ,27,G ,,0,27,G,   ,,,0,2,I ,,"{""ExYes"": ""В наличии""}",J ,1,2020-12-24 16:15:25.000000,53
54,18,C,  ,A ,27,G ,,0,27,G,   ,,,0,1,  ,,[],D ,1,2020-12-24 12:55:01.000000,54
56,20,B,  ,A ,27,G ,,0,27,G,   ,,,0,3,I ,,"{""ExNo"": ""В резерве""}",H ,1,2021-06-16 19:57:11.000000,56
58,15,B,  ,A ,27,F ,,0,27,F,D  ,27,,0,2,C ,,"{""ExYes"": ""Есть""}",  ,0,2020-12-24 14:33:47.000000,58
60,25,J,  ,D ,27,G ,,0,27,G,H  ,27,,0,1,  ,,[],  ,1,2020-12-24 02:42:32.000000,60
61,12,"E,F",  ,A ,27,J ,,0,27,J,   ,,,0,1,  ,,[],N ,1,2020-12-24 02:51:11.000000,61
62,12,"E,F",  ,F ,27,J ,,0,27,J,   ,,,0,1,  ,,[],N ,0,2020-12-24 02:50:13.000000,62
63,23,E,  ,F ,27,H ,,0,27,H,K  ,27,,0,0,  ,,[],  ,1,2020-12-24 13:35:00.000000,63
65,14,"E,D",  ,A ,27,I ,,0,27,I,   ,,,0,1,  ,,[],K ,1,2020-12-24 14:15:37.000000,65
66,13,D,  ,D ,27,M ,,0,27,M,   ,,,0,1,  ,,[],N ,1,2020-12-24 15:21:46.000000,66
67,17,C,  ,C ,27,I ,,0,27,I,K  ,27,,0,1,  ,,[],  ,1,2020-12-24 15:43:45.000000,67
69,12,"F,G",  ,F ,27,J ,,0,27,J,   ,,,0,1,  ,,[],N ,0,2020-12-24 23:41:51.000000,69
70,30,A,  ,E ,27,B ,,0,27,B,C  ,27,,0,2,G ,,"{""ExYes"": ""В наличии""}",  ,1,2020-12-28 21:43:00.000000,70
72,30,A,  ,E ,27,B ,,0,27,B,C  ,27,,0,1,G ,,"{""ExYes"": ""В наличии""}",  ,1,2020-12-28 21:49:56.000000,72
73,7,D,  ,A ,27,G ,,0,27,G,   ,,,0,1,  ,Велосипеды,[],  ,1,2020-12-29 03:59:52.000000,73
74,31,A,  ,H ,27,J ,,0,27,J,K  ,27,,0,1,  ,,[],  ,1,2020-12-30 07:28:01.000000,74
76,3,B,,A ,27,F ,,0,27,F,G  ,27,,0,1,,test,[],M ,0,2021-06-19 15:54:10.000000,76
77,36,D,  ,B ,27,  ,,0,27,E,   ,27,1.10,2,1,J ,Поиск по парт-номеру,"{""ExYes"": ""Склад"", ""ExOrder"": ""Под заказ""}",I ,1,2021-06-08 11:31:29.000000,77
78,36,"С,D",  ,B ,27,  ,,0,27,E,   ,27,1.10,2,1,J ,Поиск по полному описанию,"{""ExYes"": ""Склад"", ""ExOrder"": ""Под заказ""}",I ,1,2021-05-25 18:18:12.000000,78
79,14,"E,D",6 ,A ,27,I ,,0,27,I,   ,,,0,1,  ,,[],K ,0,2021-05-24 23:05:10.000000,79
82,34,H,,A ,27,G ,,0,27,G,F  ,27,,0,3,D ,,"{""ExNo"": ""Р""}",E ,0,2021-06-18 09:30:11.000000,82
84,34,C,,A ,27,G ,,0,27,F,F  ,27,,0,3,D ,Для автозагрузки по ссылке,"{""ExNo"": ""Р""}",G ,0,2021-06-19 10:24:03.000000,84
55,19,C,  ,A ,,  ,,0,160,G,   ,,,0,1,  ,,[],E ,1,2020-12-24 12:57:18.000000,55
31,6,C,  ,C ,,  ,,0,27,I,,27,,0,1,E ,,[],  ,0,2020-12-21 02:35:29.000000,31
68,29,B,  ,A ,,  ,,0,160,H,   ,,,0,2,I ,,"{""ExYes"": ""В наличии""}",J ,1,2020-12-24 16:17:09.000000,68
30,9,C,M ,B ,,  ,,0,160,I,K  ,27,,0,1,  ,,[],  ,1,2020-12-22 11:16:54.000000,30
75,33,B,E ,A ,,  ,,0,160,C,   ,,,0,1,  ,,[],D ,1,2021-05-25 20:49:20.000000,75
80,21,D,  ,A ,,  ,,0,160,F,   ,,,0,1,  ,,[],H ,1,2021-06-15 14:48:12.000000,80
64,24,E,  ,F ,,  ,,0,160,J,K  ,27,,0,1,  ,,[],  ,1,2020-12-24 13:36:04.000000,64
81,35,H,,A ,,,,0,160,G,F  ,27,,0,3,D ,,"{""ExNo"": ""Р""}",E ,0,2021-06-18 09:30:25.000000,81
6,3,C,  ,B ,,  ,,0,27,H,   ,27,,0,1,E ,dwdwdw,"{""ExYes"": ""достаточно""}",I ,1,2020-12-26 00:34:27.000000,6
57,21,B,  ,A ,,  ,,0,160,F,   ,,,0,3,I ,,"{""ExNo"": ""В резерве""}",H ,1,2021-06-16 19:35:38.000000,57
59,22,B,  ,A ,,  ,,0,27,G,   ,27,,0,2,C ,,"{""ExYes"": ""Есть""}",  ,1,2020-12-24 14:38:24.000000,59
36,10,"C,D",  ,A ,27,F ,,0,27,F,G  ,27,,0,1,  ,,[],M ,1,2021-10-23 05:18:42.361505,36
